"Date","Link","Transaction","Month-Year"
"12/7/16","http://m.nationals.mlb.com/player/641540/dane-dunning","Chicago White Sox traded RF Adam Eaton to Washington Nationals for RHP Lucas Giolito, RHP Reynaldo Lopez and RHP Dane Dunning.","2016-12"
"12/7/16","http://m.nationals.mlb.com/player/608337/lucas-giolito","Chicago White Sox traded RF Adam Eaton to Washington Nationals for RHP Lucas Giolito, RHP Reynaldo Lopez and RHP Dane Dunning.","2016-12"
"12/7/16","http://m.nationals.mlb.com/player/625643/reynaldo-lopez","Chicago White Sox traded RF Adam Eaton to Washington Nationals for RHP Lucas Giolito, RHP Reynaldo Lopez and RHP Dane Dunning.","2016-12"
"12/7/16","http://m.nationals.mlb.com/player/594809/adam-eaton","Chicago White Sox traded RF Adam Eaton to Washington Nationals for RHP Lucas Giolito, RHP Reynaldo Lopez and RHP Dane Dunning.","2016-12"
"12/9/16","http://m.nationals.mlb.com/player/636520/kyle-schepel","Washington Nationals signed free agent RHP Kyle Schepel to a minor league contract.","2016-12"
"12/10/16","http://m.nationals.mlb.com/player/641851/kyle-mcgowin","RHP Kyle McGowin roster status changed by Washington Nationals.","2016-12"
"12/10/16","http://m.nationals.mlb.com/player/613534/austin-adams","Washington Nationals traded 2B Danny Espinosa to Los Angeles Angels for RHP Austin Adams and Kyle McGowin.","2016-12"
"12/10/16","http://m.nationals.mlb.com/player/641851/kyle-mcgowin","Washington Nationals traded 2B Danny Espinosa to Los Angeles Angels for RHP Austin Adams and Kyle McGowin.","2016-12"
"12/10/16","http://m.nationals.mlb.com/player/457787/danny-espinosa","Washington Nationals traded 2B Danny Espinosa to Los Angeles Angels for RHP Austin Adams and Kyle McGowin.","2016-12"
"12/13/16","http://m.nationals.mlb.com/player/458678/mike-broadway","Washington Nationals signed free agent RHP Mike Broadway to a minor league contract and invited him to spring training.","2016-12"
"12/13/16","http://m.nationals.mlb.com/player/502034/emmanuel-burriss","Washington Nationals signed free agent 2B Emmanuel Burriss to a minor league contract and invited him to spring training.","2016-12"
"12/13/16","http://m.nationals.mlb.com/player/525768/tim-collins","Washington Nationals signed free agent LHP Tim Collins to a minor league contract and invited him to spring training.","2016-12"
"12/13/16","http://m.nationals.mlb.com/player/545363/jacob-turner","Washington Nationals signed free agent RHP Jacob Turner to a minor league contract and invited him to spring training.","2016-12"
"12/13/16","http://m.nationals.mlb.com/player/542469/andruth-ramirez","Washington Nationals signed free agent C Andruth Ramirez to a minor league contract.","2016-12"
"12/23/16","http://m.nationals.mlb.com/player/525734/gabriel-arias","Washington Nationals signed free agent RHP Gabriel Arias to a minor league contract.","2016-12"
"12/27/16","http://m.nationals.mlb.com/player/673358/pedro-gonzalez","Washington Nationals signed free agent RHP Pedro Gonzalez to a minor league contract.","2016-12"
